Inner HTML: ""
Inner HTML: ""
Inner HTML: ""
Inner HTML: ""
Inner HTML: ""
,,,,
Name,Location,License Type,Priority/Expedited Status,Executive Summary
"Green Biz, LLC d/b/a Colonial Cannabis","34 Bridge Street, Northampton, MA 01060",Retailer,General,"Green Biz, LLC d/b/a Colonial Cannabis Executive Summary"
"Green Biz, LLC d/b/a Colonial Cannabis","1021 South Street, Pittsfield, MA 01201 ",Retailer,General,"Green Biz, LLC d/b/a Colonial Cannabis Executive Summary"
"Green Era, LLC","25 Cape Road, Mendon, MA 01756",Retailer,General,"Green Era, LLC Executive Summary"
"Green Era, LLC","143-145 Water Street, Fitchburg, MA 01420",Retailer,General,"Green Era, LLC Executive Summary"
"Green Gold Group, Inc.","46 Worcester Road, Charlton, MA 01507",Retailer,General,"Green Gold Group, Inc. Executive Summary"
"Green Meadows Farm, LLC","64 Mill Street, Southbridge, MA 01550","Cultivation, Tier 3 – Indoor",General,"Green Meadows Farm, LLC Executive Summary"
"Green Meadows Farm, LLC","64 Mill Street, Southbridge, MA 01550",Retailer,General,"Green Meadows Farm, LLC Executive Summary"
"Green Meadows Farm, LLC","50 Whalon Street, Suite C, Fitchburg, MA 01420",Retailer,General,"Green Meadows Farm, LLC Executive Summary"
"Green River Cannabis Company, Inc. ","398 Deerfield Street, Greenfield, MA 01301",Retailer,General,"Green River Cannabis Company, Inc. Executive Summary"
"GreenStar Herbals, Inc.","200 Beacham Street, Chelsea, MA 02150",Retailer,General,"GreenStar Herbals, Inc. Executive Summary"
"GreenStar Herbals, Inc.","76-100 Pleasant Street, Dracut, MA 01826",Retailer,General,"GreenStar Herbals, Inc. Executive Summary"
"GreenStar Herbals, Inc.","22-24 Main Street, Maynard, MA 01754",Retailer,General,"GreenStar Herbals, Inc. Executive Summary"
Green Stratus Corp d/b/a Cannapi,"255 North Pearl Street, Brockton, MA 02301",Retailer,General,Green Stratus Corp d/b/a Cannapi Executive Summary
"Green Theory Cultivation, LLC d/b/a Aruna","845 Pleasant Street, Lee, MA 01238","Cultivation, Tier 3 – Indoor 
Product Manufacturing ",DBE,"Green Theory Cultivation, LLC d/b/a Aruna Executive Summary"
"Green World, LLC d/b/a Green Heart","897 North Montello Street, Brockton, MA 02301",Retailer,General,"Green World, LLC d/b/a Green Heart Executive Summary"
"Grow Rite, LLC","162 Milford Street, Upton, MA 01568","Cultivation, Tier 1 – Indoor",General,"Grow Rite, LLC Executive Summary"
"GTE Franklin, LLC d/b/a Botera","1256 West Central Street, Franklin, MA 02038",Retailer,DBE,"GTE Franklin, LLC d/b/a Botera Executive Summary"
"Harmony of MA, Inc.","111 Shrewsbury Street, West Boylston, MA 01583",Retailer,General,"Harmony of MA, Inc. Executive Summary"
Haverhill Stem LLC,"124 Washington Street, Haverhill, MA 01832",Retailer,EEA,Haverhill Stem LLC Executive Summary
"Hadleaf Holistic Greens Dispensary, LLC","251 Russell Street, Hadley, MA 01035",Retailer,General,"Hadleaf Holistic Greens Dispensary, LLC Executive Summary"
"Havn Extracts, LLC","125 Southbridge Road, North Oxford, MA 01537",Product Manufacturer,General,"Havn Extracts, LLC Executive Summary"
"Heal Provincetown, Inc.","48 Shank Painter Road, Provincetown, MA 02657",Retailer,General,"Heal Provincetown, Inc. Executive Summary"
"Heal Sturbridge, Inc.","660 Main Street, Sturbridge, MA 01566",Retailer,General,"Heal Sturbridge, Inc. Executive Summary"
"Healing Calyx, LLC d/b/a Greenrush Delivery","380 Dwight Street, Holyoke, MA 01040",Marijuana Courier,EEA,"Healing Calyx, LLC d/b/a Greenrush Delivery Executive Summary"
"Health Circle, Inc.","21 Commerce Road, Rockland, MA 02370",Retailer,MTC,"Health Circle, Inc. Executive Summary"
"Healthy Pharms, Inc.","401 East Main Street, Georgetown, MA 01833",Retailer,MTC,"Healthy Pharms, Inc. Executive Summary"
"Healthy Pharms, Inc.","401 East Main Street, Georgetown, MA 01833","Cultivation, Tier 4 – Indoor",MTC,"Healthy Pharms, Inc. Executive Summary"
"Healthy Pharms, Inc.","401 East Main Street, Georgetown, MA 01833",Product Manufacturer,MTC,"Healthy Pharms, Inc. Executive Summary"
"The Heirloom Collective, Inc.","87 Northfield Road, Bernardston, MA 01337",Retailer,General,"The Heirloom Collective, Inc. Executive Summary"
"Heka, Inc.","98 Sgt. TM Dion Way, Westfield, MA 01085","Cultivation, Tier 4 – Indoor",MTC,"Heka, Inc. Executive Summary"
"Heka, Inc.","98 Sgt. TM Dion Way, Westfield, MA 01085",Product Manufacturer,MTC,"Heka, Inc. Executive Summary"
"Heka, Inc.","98 Sgt. TM Dion Way, Westfield, MA 01085",Retailer,MTC,"Heka, Inc. Executive Summary"
"Hennep, Inc.","246 Commercial Street, Provincetown, MA 02657",Retailer,General,"Hennep, Inc. Executive Summary"
"Herbal Pathways, LLC d/b/a HiBrid","1317 East Street, Pittsfield, MA 01201",Retailer,General,"Herbal Pathways, LLC d/b/a HiBrid Executive Summary"
"The Heritage Club, LLC","116 Cambridge Street, Boston, MA 02129",Retailer,SEP,"The Heritage Club, LLC Executive Summary"
"Hidden Hemlock, LLC","109 Apremont Way, Unit 9, Westfield, MA 01085",Microbusiness,Microbusiness,"Hidden Hemlock, LLC Executive Summary"
"High Five, Inc. d/b/a Wemelco Industries","19 Wemelco Way, Easthampton, MA 01027",Product Manufacturer,General,"High Five, Inc. d/b/a Wemelco Industries Executive Summary"
"High Hawk Farm, LLC","101 Daunt Road, Barre, MA 01005","Cultivation, Tier 11 – Outdoor",Outdoor Cultivator,"High Hawk Farm, LLC Executive Summary"
"High Hopes, LLC","1 Menfi Way, Unit 9, Hopedale, MA 01747",Retailer,General,"High Hopes, LLC Executive Summary"
"Highmark Provisions, LLC","201 Summer Street, Holliston, MA 01746","Cultivation, Tier 2 - Indoor",General,"Highmark Provisions, LLC Executive Summary"
"Highminded, LLC d/b/a Farnsworth","126 Main Street, Great Barrington, MA 01230",Product Manufacturer,DBE,"Highminded, LLC d/b/a Farnsworth Executive Summary"
"Highminded, LLC d/b/a Farnsworth","126 Main Street, Great Barrington, MA 01230",Retailer,DBE,"Highminded, LLC d/b/a Farnsworth Executive Summary"
"Holistic Health Group, Inc.","477 Wareham Street, Middleborough, MA 02344","Cultivation, Tier 6 – Outdoor ",Outdoor Cultivator,"Holistic Health Group, Inc. Executive Summary"
"Holistic Health Group, Inc. d/b/a Suncrafted","477 Wareham Street, Middleborough, MA 02344",Retailer,MTC," Holistic Health Group, Inc. d/b/a Suncrafted Executive Summary"
"Holistic Industries, Inc. d/b/a Liberty Cannabis","155 Northampton St., Easthampton, MA 01027",Retailer,MTC,"Holistic Industries, Inc. Executive Summary"
"Holistic Industries, Inc. d/b/a Liberty Cannabis","1300 Boston Road, Springfield, MA 01119",Retailer,General,"Holistic Industries, Inc. Executive Summary"
"Holland Brands NA, LLC d/b/a Native Sun","1320 South Washington Street, North Attleborough, MA 02760",Retailer,General,"Holland Brands NA, LLC d/b/a Native Sun"
"Holyoke 420, LLC d/b/a Holyoke Cannabis","380 Dwight Street, Suite 3, Holyoke, MA 01040",Retailer,General,"Holyoke 420, LLC d/b/a Holyoke Cannabis Executive Summary"
Holyoke Smokes Corp.,"81 – 85 Sergeant Street, Holyoke, MA 01040",Marijuana Delivery Operator,SEP,Holyoke Smokes Corp. Executive Summary
"Home Grown 617, LLC d/b/a Yamba","580 Massachusetts Avenue, Cambridge, MA 02139",Retailer,EEA,"Home Grown 617, LLC d/b/a Yamba Executive Summary"
"Hope Heal Health, Inc.","1 West Street, Fall River, MA 02720",Retailer,MTC,"Hope Heal Health, Inc. Executive Summary"
"Hope Heal Health, Inc.","1 West Street, Fall River, MA 02720","Cultivation, Tier 4 – Indoor",MTC,"Hope Heal Health, Inc. Executive Summary"
"Hope Heal Health, Inc.","1 West Street, Fall River, MA 02720",Product Manufacturer,MTC,"Hope Heal Health, Inc. Executive Summary"
"Hudson Botanical Processing, LLC"," 9 Kane Industrial Drive, Unit 1, Hudson, MA 01749",Product Manufacturer,General,"Hudson Botanical Processing, LLC Executive Summary"
"Hudson Growers Alliance, LLC"," 9 Kane Industrial Drive, Unit 2, Hudson, MA 01749","Cultivation, Tier 1 – Indoor",DBE,"Hudson Growers Alliance, LLC Executive Summary"
"Humboldt Masters, LLC","215 Shrewsbury Street, West Boylston, MA 01583",Product Manufacturer,General,"Humboldt Masters, LLC Executive Summary"
"Humboldt Masters, LLC","215 Shrewsbury Street, West Boylston, MA 01583","Cultivation, Tier 2 - Indoor",General,"Humboldt Masters, LLC Executive Summary"
"HVV Massachusetts, Inc.","39 Great Republic Drive, Gloucester, MA 01930",Retailer,MTC,"HVV Massachusetts, Inc. Executive Summary"
"HVV Massachusetts, Inc.","39 Great Republic Drive, Gloucester, MA 01930
","Cultivation, Tier 3 – Indoor",MTC,"HVV Massachusetts, Inc. Executive Summary"
"HVV Massachusetts, Inc.","39 Great Republic Drive, Gloucester, MA 01930",Product Manufacturer,MTC,"HVV Massachusetts, Inc. Executive Summary"
"HVV Massachusetts, Inc.","220 William McClellan Highway, Boston, MA 02128",Retailer,MTC,"HVV Massachusetts, Inc. Executive Summary"
"HyeCorp, LLC d/b/a Green4All","327 North Pearl Street, Brockton, MA 02301",Retailer,General,"HyeCorp, LLC d/b/a Green4All Executive Summary"
"I & I Rose Garden, LLC","22 Birch Street, Roslindale, MA 02131",Product Manufacturing,EEA,"I & I Rose Garden, LLC Executive Summary"
"Impressed, LLC ","15 Commercial Way, Hanson, MA 02341","Cultivation, Tier 3 – Indoor",General,"Impressed, LLC Executive Summary"
"In Good Health, Inc.","1200 West Chestnut Street, Brockton, MA 02301","Cultivation, Tier 4 – Indoor ",MTC,"In Good Health, Inc. Executive Summary"
"In Good Health, Inc.","1200 West Chestnut Street, Brockton, MA 02301",Product Manufacturer,MTC,"In Good Health, Inc. Executive Summary"
"In Good Health, Inc.","1200 West Chestnut Street, Brockton, MA 02301",Retailer,MTC,"In Good Health, Inc. Executive Summary"
I.N.S.A.,"122 Pleasant Street, Easthampton, MA 01027","Cultivation, Tier 7 – Indoor",MTC,I.N.S.A. Executive Summary
I.N.S.A.,"122 Pleasant Street, Easthampton, MA 01027",Product Manufacturer,MTC,I.N.S.A. Executive Summary
I.N.S.A.,"122 Pleasant Street, Easthampton, MA 01027",Retailer,MTC,I.N.S.A. Executive Summary
I.N.S.A.,"462 Highland Avenue, Salem, MA 01970",Retailer,MTC,I.N.S.A. Executive Summary
I.N.S.A.,"1200 West Columbus Avenue, Springfield, MA 01105",Retailer,General,I.N.S.A. Executive Summary
"Ipswich Pharmaceutical Associates, Inc. d/b/a Fine Fettle","116 Newburyport Turnpike, Rowley, MA 01969",Retailer,MTC,"Ipswich Pharmaceutical Associates, Inc. d/b/a Fine Fettle Executive Summary"
"Ironstone Express, Inc. d/b/a Green N Go","454 Quacker Highway, Uxbridge, MA 01569",Retailer,General,"Ironstone Express, Inc. d/b/a Green N Go Executive Summary"
"Jamaco, LLC","35 Buttonwood Road, Amesbury, MA 01913","Cultivation, Tier 2 – Indoor",General,"Jamaco, LLC Executive Summary"
"J-B.A.M., Inc.","71 Downing Parkway, Building A, Pittsfield, MA 01201","Cultivation, Tier 1 – Indoor",General,"J-B.A.M., Inc. Executive Summary"
"JimBuddy’s Rec Shop, Inc ","35 Buttonwood Road, Amesbury, MA 01913",Retailer,General,"JimBuddy’s Rec Shop, Inc. Executive Summary"
"Jolly Green, Inc.","60 Franklin Street, Winchendon, MA 01475","Cultivation, Tier 1 – Indoor",General,"Jolly Green, Inc. Executive Summary"
"Jolo, LLC d/b/a Harbor House Collective","80 Eastern Avenue, Chelsea, MA 02150","Cultivation, Tier 3 – Indoor",General,"Jolo, LLC d/b/a Harbor House Collective Executive Summary"
"Jolo, LLC d/b/a Harbor House Collective","80 Eastern Avenue, Chelsea, MA 02150",Retailer,General,"Jolo, LLC d/b/a Harbor House Collective Executive Summary"
"Jolo, LLC d/b/a Harbor House Collective","80 Eastern Avenue, Chelsea, MA 02150",Product Manufacturer,General,"Jolo, LLC d/b/a Harbor House Collective Executive Summary"
"Just Healthy, LLC d/b/a The Source","58 Pleasant Street, Northampton, MA 01060",Retailer,MTC,"Just Healthy, LLC d/b/a The Source Executive Summary"
"JustinCredible Cultivation, Inc.","116 Powell Road, Cummington, MA 01026","Cultivation, Tier 1 – Indoor",General,"JustinCredible Cultivation, Inc. Executive Summary"
"JWTC Wick, LLC","264 Newburyport Turnpike, Rowley, MA 01969",Retailer,DBE,"JWTC Wick, LLC Executive Summary"
"Kaycha MA, LLC ","16 Tech Circle, Suite 201, Natick, MA 01748",Independent Testing Laboratory,Independent Testing Laboratory,"Kaycha MA, LLC Executive Summary"
"KCCS, LLC d/b/a Cannabis Culture","26 Strong Ave., Northampton, MA 01060",Retailer,DBE,"KCCS, LLC d/b/a Cannabis Culture Executive Summary"
" KG Collective, LLC ",": 701-703B Mt. Auburn Street, Cambridge, MA 02138",Retailer,EEA,"KG Collective, LLC Executive Summary"
" KindRun Massachusetts, LLC ","7 Kane Industrial Drive, Hudson, MA 01749",Marijuana Delivery Operator,SEP,"Kind Run Massachusetts, LLC Executive Summary"
"KRD Growers, LLC d/b/a New England Harvest","89 Parker Street, Clinton, MA 01510",Retailer,General,"KRD Growers, LLC d/b/a New England Harvest Executive Summary"
"Krishna Lenox, LLC d/b/a Kapha Cannabis Dispensary","439 Pittsfield Road, Unit C, Lenox, MA 02140",Retailer,DBE,"Krishna Lenox, LLC d/b/a Kapha Cannabis Dispensary Executive Summary"
"Late Spring, Inc. d/b/a Gage Cannabis Company","38 Littleton Road, Ayer, MA 01432",Retailer,General,"Late Spring, Inc. D/B/A Gage Cannabis Company Executive Summary"
"Lazy River Products, LLC","145 Broadway Road, Dracut, MA 01826","Cultivation, Tier 2 – Indoor",General,"Lazy River Products, LLC Executive Summary"
"Lazy River Products, LLC","145 Broadway Road, Dracut, MA 01826",Product Manufacturer,General,"Lazy River Products, LLC Executive Summary"
"LC Square, LLC","173 Howland Avenue, Adams, MA 01220",Product Manufacturing,General,"LC Square, LLC Executive Summary"
"Lazy River Products, LLC","145 Broadway Road, Dracut, MA 01826",Retailer,General,"Lazy River Products, LLC Executive Summary"
"LDE Holdings, LLC d/b/a Trade Roots","6 Thatcher Lane, Wareham, MA 02571",Retailer,SEP,"LDE Holdings, LLC d/b/a Trade Roots Executive Summary"
"LDE Holdings, LLC d/b/a Trade Roots","6 Thatcher Lane, Wareham, MA 02571","Cultivation, Tier 2 – Indoor",SEP,"LDE Holdings, LLC d/b/a Trade Roots Executive Summary"
"LDE Holdings, LLC d/b/a Trade Roots","6 Thatcher Lane, Wareham, MA 02571",Product Manufacturer,SEP,"LDE Holdings, LLC d/b/a Trade Roots Executive Summary"
"Legal Greens, LLC","73-75 Pleasant Street, Brockton, MA 02301",Retailer,EEA,"Legal Greens, LLC Executive Summary"
"Liberty Market, LLC","126 South Main Street, Lanesborough, MA 01237",Retailer,General,"Liberty Market, LLC Executive Summary"
"Life Essence, Inc. d/b/a Trulieve","85 Worcester Road, Framingham, MA 01702",Retailer,General,"Life Essence, Inc. d/b/a Trulieve Executive Summary"
"Life Essence, Inc. d/b/a Trulieve","142 Southbridge Street, Worcester, MA 01608",Retailer,MTC,"Life Essence, Inc. d/b/a Trulieve Executive Summary"
"Life Essence, Inc. d/b/a Trulieve","216 North King Street, Northampton, MA 01060",Retailer,General,"Life Essence, Inc. d/b/a Trulieve Executive Summary"
"Local Roots NE, Inc.","910 Boston Post Road, Suite #100, Marlborough, MA 01752",Retailer,General,"Local Roots NE, Inc. Executive Summary"
"Lynn Organics, LLC d/b/a Ethos Cannabis","193-195 Oxford Street, Lynn, MA 01901
",Retailer,General,"Lynn Organics, LLC d/b/a Ethos Cannabis Executive Summary"
"M3 Ventures, Inc.","9 Collins Avenue, Plymouth, MA 02360","Cultivation, Tier 2 – Indoor ",MTC,"M3 Ventures, Inc. Executive Summary"
"M3 Ventures, Inc.","9 Collins Avenue, Plymouth, MA 02360",Product Manufacturer,MTC,"M3 Ventures, Inc. Executive Summary"
"M3 Ventures, Inc.","9 Collins Avenue, Plymouth, MA 02360",Retailer,MTC,"M3 Ventures, Inc. Executive Summary"
"M3 Ventures, Inc.","29 Echo Road, Mashpee, MA 02469",Retailer,MTC,"M3 Ventures, Inc. Executive Summary"
"MA Craft Cultivation, LLC","108 West Leyden Road, Colrain, MA 01340","Cultivation, Tier 6 – Outdoor",Outdoor Cultivator,"MA Craft Cultivation, LLC Executive Summary"
"Major Bloom, LLC ","76 Millbury Street, Worcester, MA 01610",Delivery Courier,EEA,"Major Bloom, LLC Executive Summary"
"Major Bloom, LLC ","76 Millbury Street, Worcester, MA 01610",Retailer,EEA,"Major Bloom, LLC Executive Summary"
"Major Bloom, LLC ","76 Millbury Street, Worcester, MA 01610",Product Manufacturer,EEA,"Major Bloom, LLC Executive Summary"
"Massachusetts Citizens for Social Equity, LLC d/b/a High Profile x Budega ","3995 – 3997 Washington Street, Boston, MA 02131",Retailer,General,"Massachusetts Citizens for Social Equity, LLC d/b/a High Profile x Budega"
"Mass Alternative Care, Inc.","1247 E Main St., Chicopee, MA 01020","Cultivation, Tier 3 – Indoor",MTC,"Mass Alternative Care, Inc. Executive Summary"
"Mass Alternative Care, Inc.","1247 E Main St., Chicopee, MA 01020",Product Manufacturer,MTC,"Mass Alternative Care, Inc. Executive Summary"
"Mass Alternative Care, Inc.","55 University Dr, Amherst, MA 01002",Retailer,MTC," Mass Alternative Care, Inc.
Executive Summary"
"Mass Alternative Care, Inc.","1247 E Main Street, Chicopee, MA 01020",Retailer,MTC,"Mass Alternative Care, Inc. Executive Summary"
Massbiolytics Corp.,"20 Commercial Drive, Ste 2001, Dracut, MA 01826",Independent Testing Laboratory,Independent Testing Laboratory,Massbiolytics Corp. Executive Summary
"MassGrow, LLC","134 Chestnut Hill Avenue, Athol, MA 01331","Cultivation, Tier 11 – Indoor ",General,"MassGrow, LLC Executive Summary"
"MassGrow, LLC","134 Chestnut Hill Avenue, Athol, MA 01331",Product Manufacturer,General,"MassGrow, LLC Executive Summary"
MassMedicum Corp.,"1 Mear Road, Holbrook, MA 02343","Cultivation, Tier 7 – Indoor",MTC,MassMedicum Corp. Executive Summary
MassMedicum Corp. d/b/a Grand Cru Cannabis Co.,"1 Mear Road, Holbrook, MA 02343",Product Manufacturer,MTC,MassMedicum Corp. Executive Summary
"Mass Wellspring, LLC","4-6 Nason Street, Maynard, MA 01754",Retailer,General,"Mass Wellspring, LLC Executive Summary"
"Mass Yield Cultivation, LLC","12 Commercial Street, Pittsfield, MA 01201","Cultivation, Tier 2 – Indoor ",General,"Mass Yield Cultivation, LLC Executive Summary"
"Mayflower Medicinals, Inc.","89 October Hill Road, Holliston, MA 01746","Cultivation, Tier 2 – Indoor ",MTC,"Mayflower Medicinals, Inc. Executive Summary"
"Mayflower Medicinals, Inc.","450 Chelmsford Street, Unit 7, Lowell, MA 01851",Retailer,MTC,"Mayflower Medicinals, Inc. Executive Summary"
"Mayflower Medicinals, Inc.","645 Park Avenue, Worcester, MA 01603",Retailer,MTC,"Mayflower Medicinals, Inc. Executive Summary"
"Mayflower Medicinals, Inc. d/b/a Be ","230 Harvard Avenue, Boston, MA 02134",Retailer,MTC,"Mayflower Medicinals, Inc. d/b/a Be Executive Summary"
MCR Labs,"85 Speen Street, Framingham, MA 01701",Independent Testing Laboratory,MTC,MCR Labs Executive Summary
"Mederi, Inc.","44 Boyton Road, Holliston, MA 01746","Cultivation, Tier 2 – Indoor ",General,"Mederi, Inc. Executive Summary"
"Mellow Fellows, LLC d/b/a Mello","330 Amesbury Road, Haverhill, MA 01830",Retailer,General,"Mellow Fellows, LLC d/b/a Mello Executive Summary"
"Mill Town Agriculture, LLC","1 Cabot Street, Holyoke, MA 01040","Cultivation, Tier 1 – Indoor ",General,"Mill Town Agriculture, LLC Executive Summary"
"Mission MA, Inc.","1024B Commonwealth Avenue, Brookline, MA 02215",Retailer,MTC,"Mission MA, Inc. Executive Summary"
"Mission MA, Inc.","640 Lincoln Street, Suite 200, Worcester, MA 01605","Cultivation, Tier 1 – Indoor",MTC,"Mission MA, Inc. Executive Summary"
"Mission MA, Inc.","640 Lincoln Street, Suite 200, Worcester, MA 01605",Retailer,MTC,"Mission MA, Inc. Executive Summary"
"Mission MA, Inc.","640 Lincoln Street, Suite 200, Worcester, MA 01605",Product Manufacturer,MTC,"Mission MA, Inc. Executive Summary"
"Misty Mountain Shop, LLC","323 Commercial Street, Malden, MA 02148",Retailer,General,"Misty Mountain Shop, LLC Executive Summary"
"MJ’s Market, Inc.","13 Centennial Drive, Grafton, MA 01536",Retailer,General,"MJ’s Market, Inc. Executive Summary"
"MMM Transport, Inc.","376 Easthampton Road, Northampton, MA 01060",Third-Party Transporter,DBE,"MMM Transport, Inc. Executive Summary"
"Morning Dew, LLC","47 Daniel Shays Highway, Orange, MA 01364",Microbusiness,DBE,"Morning Dew, LLC Executive Summary"
"Munro Associates, LLC d/b/a The Vault","70 Worcester Road, Suite 225, Webster, MA 01570",Retailer,General,"Munro Associates, LLC d/b/a The Vault Executive Summary"
"Munro Associates, LLC d/b/a The Vault","17 East Mountain Street, Worcester, MA 01606",Retailer,General,"Munro Associates, LLC d/b/a The Vault Executive Summary"
"Native Sun Wellness, Inc.","37 Coolidge Street, Hudson, MA 01749",Retailer,General,"Native Sun Wellness, Inc. Executive Summary"
"Nature’s Alternative, Inc. d/b/a Terps ","2393 Route 6, Wellfleet, MA 02667",Retailer,General,"Nature’s Alternative, Inc. d/b/a Terps Executive Summary"
"Nature’s Embrace, Inc.","747 Centre Street, Brockton, MA 02302",Retailer,General,"Nature’s Embrace, Inc. Executive Summary"
"Nature’s Remedy of Massachusetts, Inc.","266 North Main St., Millbury, MA 01527",Retailer,MTC,"Nature’s Remedy of Massachusetts, Inc. Executive Summary"
"Nature’s Remedy of Massachusetts, Inc.","310 Kenneth Welch Drive, Lakeville, MA 02347","Cultivation, Tier 4 – Indoor ",MTC,"Nature’s Remedy of Massachusetts, Inc. Executive Summary"
"Nature’s Remedy of Massachusetts, Inc.","310 Kenneth Welch Drive, Lakeville, MA 02347",Product Manufacturer,MTC,"Nature’s Remedy of Massachusetts, Inc. Executive Summary"
"Nature’s Remedy of Massachusetts, Inc.","420 Middlesex Road, Tyngsboro, MA 01879",Retailer,MTC,"Nature’s Remedy of Massachusetts, Inc. Executive Summary"
"Nature’s Medicines, Inc.","3119 Cranberry Highway, Wareham, MA 02538",Retailer,MTC,"Nature’s Medicines, Inc. Executive Summary"
"Nature’s Medicines, Inc.","482 Globe Street, Fall River, MA 02724",Retailer,MTC,"Nature’s Medicines, Inc. Executive Summary"
"Nature’s Medicines, Inc.","1045 Quaker Highway, Uxbridge, MA 01569",Retailer,MTC,"Nature’s Medicines, Inc. Executive Summary"
"Neamat, LLC","290 Millville Road, Uxbridge, MA 01569","Cultivation, Tier 3 – Outdoor",Outdoor Cultivator,"Neamat, LLC Executive Summary"
"NEO Manufacturing MA, LLC","4 Marc Rd., Medway, MA 02053","Cultivation, Tier 3 – Indoor",General,"NEO Manufacturing MA, LLC Executive Summary"
"NEO Manufacturing MA, LLC","4 Marc Rd., Medway, MA 02053",Product Manufacturing,General,"NEO Manufacturing MA, LLC Executive Summary"
"New Dia, LLC","118 Cambridge Street, Worcester, MA 01603",Retailer,EEA,"New Dia, LLC Executive Summary"
"New England Cannabis Corporation, Inc.","29 Everett Street, Holliston, MA 01746","Cultivation, Tier 4 – Indoor ",MTC,"New England Cannabis Corporation, Inc. Executive Summary"
"New England Cannabis Corporation, Inc.","29 Everett Street, Holliston, MA 01746",Product Manufacturer,MTC,"New England Cannabis Corporation, Inc. Executive Summary"
"New England Craft Cultivators, LLC d/b/a Treehouse Cannabis","61 Silva Lane, 2nd Floor, Dracut, MA 01826",Retailer,DBE,"New England Craft Cultivators, LLC d/b/a Treehouse Cannabis Executive Summary"
New England Treatment Access,"162 Grove Street, Franklin, MA 02038",Retailer,MTC,New England Treatment Access Executive Summary
New England Treatment Access,"5 Forge Parkway, Franklin, MA 02038","Cultivation, Tier 6 – Indoor ",MTC,New England Treatment Access Executive Summary
New England Treatment Access,"5 Forge Parkway, Franklin, MA 02038",Product Manufacturer,MTC,New England Treatment Access Executive Summary
New England Treatment Access,"118 Conz Street, Northampton MA 01060",Retailer,MTC,New England Treatment Access Executive Summary
New England Treatment Access,"160 Washington Street, Brookline, MA 02445",Retailer,MTC,New England Treatment Access Executive Summary
"New Green, LLC d/b/a Devine","71 Main Street, Egremont, MA 01258",Retailer,General,"New Green, LLC d/b/a Devine Executive Summary"
"New Leaf Enterprises, Inc.","2629 South Main Street, Fall River, MA 02724",Retailer,SEP,"New Leaf Enterprises, Inc. Executive Summary"
"Northeast Alternatives, Inc.","999 William Canning Boulevard, Fall River, MA 02721","Cultivation, Tier 1 – Indoor",MTC,Northeast Alternatives Executive Summary
"Northeast Alternatives, Inc.","999 William Canning Boulevard, Fall River, MA 02721",Product Manufacturer,MTC,Northeast Alternatives Executive Summary
"Northeast Alternatives, Inc.","310 Kenneth Welch Dr., Lakeville, MA 0237","Cultivation, Tier 6-Indoor ",General,Northeast Alternatives Executive Summary
"Northeast Alternatives, Inc.","999 William Canning Boulevard, Fall River, MA 02721",Retailer,MTC,Northeast Alternatives Executive Summary
Northeast Select Harvest Corp.,"378-380 Highland Avenue, Somerville, MA 02144",Retailer,General,Northeast Select Harvest Corp. Executive Summary
"Northempton Enterprises, Inc. d/b/a The Hempest","2 Conz Street, Northampton, MA 01060",Retailer,General,"Northempton Enterprises, Inc. d/b/a The Hempest Executive Summary"
"Nova Farms, LLC f/k/a BCWC, LLC","136 Kellogg Road, Sheffield, MA 01257","Cultivation, Tier 9 – Outdoor",MTC,"Nova Farms, LLC f/k/a BCWC, LLC Executive Summary"
"Nova Farms, LLC f/k/a BCWC, LLC","34 Extension Street, Attleboro, MA 02703",Retailer,MTC,"Nova Farms, LLC f/k/a BCWC, LLC Executive Summary"
"Nova Farms, LLC f/k/a BCWC, LLC","34 Extension Street, Attleboro, MA 02703",Product Manufacturer,MTC,"Nova Farms, LLC f/k/a BCWC, LLC Executive Summary"
"Nova Farms, LLC","1137 Worcester Road, Framingham, MA 01701",Retailer,General,"Nova Farms, LLC Executive Summary"
"Novel Beverage Co. MA, LLC","10 Fanaras Drive, Salisbury, MA 01952",Product Manufacturer,General,"Novel Beverage Co. MA, LLC Executive Summary"
"NS AJO Holdings, Inc. d/b/a Ethos Cannabis, LLC","20 Authority Drive, Fitchburg, MA 01420
",Retailer,MTC,"NS AJO Holdings, Inc. d/b/a Ethos Cannabis, LLC Executive Summary"
"NS AJO Holdings, Inc. d/b/a Ethos Cannabis, LLC","23 Elm Street, Building 2, Watertown, MA 02472",Retailer,MTC,"NS AJO Holdings, Inc. d/b/a Ethos Cannabis, LLC Executive Summary"
"Ocean Breeze Cultivators, LLC","11 Dory Road, Gloucester, MA 01930","Cultivation, Tier 3 – Indoor",General,"Ocean Breeze Cultivators, LLC Executive Summary"
"Ocean Breeze Cultivators, LLC ","11 Dory Road, Gloucester, MA 01930","Product Manufacturer
",General," Ocean Breeze Cultivators, LLC Executive Summary"
"Olde World Remedies, Inc.","953 Western Avenue, Lynn, MA 01901",Retailer,MTC,"Olde World Remedies, Inc. Executive Summary"
"Old Planters of Cape Ann, Inc.","300 Newburyport Turnpike, Rowley, MA 01969",Retailer,MTC,"Old Planters of Cape Ann, Inc. Executive Summary"
"Paper Crane Provisions, LLC","50 Gardner Road, Suite D, Hubbardston, MA 01452","Cultivation, Tier 6 – Outdoor",SEP and Outdoor Cultivator,"Paper Crane Provisions, LLC Executive Summary"
